Name,Typology,Current Conditions,Future Needs & Priorities,District,Neighborhood Plan,Status Check,City Planning,Major Transit project?
University District,Mixed Use Center future,Has a core employment population,,Northeast,http://www.seattle.gov/neighborhoods/npi/plans/university/,http://www.seattle.gov/planningcommission/docs/UniversityCommunityExecSummary.pdf,,http://projects.soundtransit.org/Projects-Home/North-Link/Brooklyn-Station.xml
Ballard,Mixed use Center local,"High population, S edge is industrial",Ballard is a “new urban center” Combine districts keeping identities separate,Ballard,http://www.seattle.gov/neighborhoods/npi/plans/chill/,http://www.seattle.gov/planningcommission/docs/CHBExecSummary.pdf,http://www.seattle.gov/dpd/Planning/BallardURV/Overview/default.asp,http://www.kingcounty.gov/transportation/kcdot/MetroTransit/RapidRide/DLine.aspx
Fremont,Mixed Use Center local,24 hr neighborhood,,Lake Union,http://www.seattle.gov/neighborhoods/npi/plans/fremont/,http://www.seattle.gov/planningcommission/docs/FremontExecSummary.pdf,http://www.seattle.gov/dpd/Planning/FremontUrbanVillageRezone/Overview/default.asp,
Campus Parkway - combined with University District?,Mixed Use Center regional,Major gateway to UW with many admin buildings and libraries; also some medical areas to the south along Pacific; numerous dormatories,Focus on this district being a transit node with minor MUC-R,Northeast,,,,
Northgate,Mixed Use Center regional,Regional draw; medical and retail employment center,,North,http://www.seattle.gov/neighborhoods/npi/plans/northgate/,,http://www.seattle.gov/DPD/Planning/Northgate_Revitalization/Overview/,http://projects.soundtransit.org/Projects-Home/North-Link/Northgate-Station.xml
Broadview,Mixed Use Neighborhood,Consider renaming this district,May become a MUC-L if it is served by fixed rail in the future,Northwest,http://www.seattle.gov/neighborhoods/npi/plans/broadview/,http://www.seattle.gov/planningcommission/docs/BBLHLExecSummary.pdf,http://www.seattle.gov/dpd/Planning/Neighborhood_Planning/NeighborhoodPlanUpdates/BroadviewBitterLakeHallerLake/default.asp,http://www.kingcounty.gov/transportation/kcdot/MetroTransit/RapidRide/ELine.aspx
Crown Hill,Mixed Use Neighborhood,Large format parcels,,Ballard,http://www.seattle.gov/neighborhoods/npi/plans/chill/,http://www.seattle.gov/planningcommission/docs/CHBExecSummary.pdf,,http://www.kingcounty.gov/transportation/kcdot/MetroTransit/RapidRide/DLine.aspx
Greenwood,Mixed Use Neighborhood,Large format parcels and developments; walkability exists,Potential for more residential,Northwest,http://www.seattle.gov/neighborhoods/npi/plans/greenwood/,http://www.seattle.gov/planningcommission/docs/GPRExecSummary.pdf,http://www.seattle.gov/dpd/Planning/GreenwoodRezone/Overview/default.asp,
Lake City,Mixed Use Neighborhood,Predominantly residential    ,,North,http://www.seattle.gov/neighborhoods/npi/plans/north/,http://www.seattle.gov/planningcommission/docs/LakeCityExecSummary.pdf,,
North Green Lake,Mixed Use Neighborhood,,Expand district to the south.,Northwest,http://www.seattle.gov/neighborhoods/npi/plans/aurlict/,http://www.seattle.gov/planningcommission/docs/ALSExecSummary.pdf,http://www.seattle.gov/dpd/Planning/Aurora/Overview/,http://www.kingcounty.gov/transportation/kcdot/MetroTransit/RapidRide/ELine.aspx
North Greenwood,Mixed Use Neighborhood,Not walkable; elongate district shape N-S to touch Greenwood,Keep centers of N. Greenwood and Greenwood individual identities,Northwest,http://www.seattle.gov/neighborhoods/npi/plans/greenwood/,http://www.seattle.gov/planningcommission/docs/GPRExecSummary.pdf,http://www.seattle.gov/dpd/Planning/GreenwoodRezone/Overview/default.asp,
Oaktree,Mixed Use Neighborhood,Larger format uses provided more land use opportunities,Station area is planned; consider connecting this with N. Greenwood E-W. Don’t lose Aurora Connection,Northwest,http://www.seattle.gov/neighborhoods/npi/plans/aurlict/,http://www.seattle.gov/planningcommission/docs/ALSExecSummary.pdf,http://www.seattle.gov/dpd/Planning/Aurora/Overview/,http://www.kingcounty.gov/transportation/kcdot/MetroTransit/RapidRide/ELine.aspx
Roosevelt,Mixed Use Neighborhood,Predominately residential,Provide safe access to the transit station,Northeast,http://www.seattle.gov/neighborhoods/npi/plans/rosvlt/,,,http://projects.soundtransit.org/Projects-Home/North-Link/Roosevelt-Station.xml
Husky Stadium,Special District,,Transit node emphasis,Northeast,http://www.seattle.gov/neighborhoods/npi/plans/university/,http://www.seattle.gov/planningcommission/docs/UniversityCommunityExecSummary.pdf,,http://projects.soundtransit.org/Projects-Home/University-Link/University-of-Washington-Station.xml
Interbay,Special District,May be 2 separate districts Ind. & MUN,Maximize BRT; don’t encroach on Land Use,Magnolia/Queen Anne,,,,http://www.kingcounty.gov/transportation/kcdot/MetroTransit/RapidRide/DLine.aspx
Denny,Mixed Use Center ­regional?,growth and jobs; EIS for height; Denny is challenging,more residential; needs civic square; high priority; SR99 portal/grid; EIS; grid shift opportunities; improve Denny intersection,Downtown,http://www.seattle.gov/neighborhoods/npi/plans/denny/,,http://www.seattle.gov/DPD/Planning/Center_City/Overview/,
Westlake,Mixed Use Center regional,,streetcar connection to Westlake; shift boundary to Pike Place Market,Downtown,http://www.seattle.gov/neighborhoods/npi/plans/ccore/,,http://www.seattle.gov/DPD/Planning/Center_City/Overview/,
King Street Station,Mixed Use Center/Special District,Best multimodal transit connections; surges of people attending sporting events; connections to International District/Pioneer Square,add residential; SR99 – plazas/open space; safety/crime – CPTED,Downtown,http://www.seattle.gov/neighborhoods/npi/plans/psquare/,,http://www.seattle.gov/dpd/Planning/South_Downtown/Overview/,http://www.seattle.gov/transportation/kingstreet.htm
Colman Dock,Mixed Use Center/Special District,ferry terminal,needs better connection to streetcar,Downtown,http://www.seattle.gov/neighborhoods/npi/plans/ccore/,,http://waterfrontseattle.org/,
South Lake Union,Mixed Use Center regional,"SR99 grid changes; lots of new development – Gates Foundation, Amazon; astronomical growth targets",need essential components; better connections; school; mid-block crossings,Lake Union,http://www.seattle.gov/neighborhoods/npi/plans/slu/,,http://www.seattle.gov/DPD/Planning/South_Lake_Union/Overview/,http://www.kingcounty.gov/transportation/kcdot/MetroTransit/RapidRide/ELine.aspx
Uptown,Mixed Use Center regional/Special District,Seattle Center; Theater District; 2-Way Mercer will improve pedestrian environment,streetcar to Key Arena/Seattle Center; incentive zoning – increase heights; break down Seattle Center wall; lake to bay trail; low parking ratio; sidewalks,Magnolia/Queen Anne,http://www.seattle.gov/neighborhoods/npi/plans/qa/,http://www.seattle.gov/planningcommission/docs/QueenAnneExecSummary.pdf,,http://www.kingcounty.gov/transportation/kcdot/MetroTransit/RapidRide/DLine.aspx
Lander,Industrial Jobs Center,LRT service; sex offender; low intensity,improve connection to Starbucks on Lander; mid-block connections; more intensive industrial; good place for bus integration from area to south and west,Greater Duwamish,http://www.seattle.gov/neighborhoods/npi/plans/duwa/,,http://www.seattle.gov/dpd/Planning/IndustrialLands/Overview/,
Stadium,Industrial Jobs Center/Special District,Royal Brougham; Destination; some hotel allowed; surge/pulse ridership; SR519 overpass,pressure to rezone; pedestrian safety; lid rail Holgate; good place for more bus integration,Greater Duwamish,http://www.seattle.gov/neighborhoods/npi/plans/duwa/,,http://www.seattle.gov/dpd/Planning/IndustrialLands/Overview/,
Capitol Hill,Mixed Use Center ,"Dense, diverse, urban Neighborhood; 24/7 activity; Some regional draw including Seattle Central Community College; Cal Anderson park has become a park with citywide/regional draw; Lots of new transit investment coming on line soon. Good mix of transit modes with strong connectivity between modes; Good mix of housing serving a broad variety of income levels.  Affordable Housing works well here; Low car usage","Continue to promote very strong connections between transit modes. Address livability issues associated with a 24/7 neighborhood i.e. noise, nightlife. Building design could help. Address under-developing in some areas (minimum densities) while continuing to allow for many scales of housing, big and small retail.  Zoning - Focus on surgical interventions and refinement in some places such a Broadway. Some highrise; Bike improvements for families (not just ‘cyclists’)",East,http://www.seattle.gov/neighborhoods/npi/plans/caphill/,http://www.seattle.gov/planningcommission/docs/CapitolHillExecSummary.pdf,http://www.seattle.gov/dpd/Planning/CapHillStationArea/Overview/default.asp,http://projects.soundtransit.org/Projects-Home/University-Link/Capitol-Hill-Station.xml
15th Ave,Mixed Use Neighborhood,"Circle of transit community should shift one block north; 15th is a pleasant street with a nice grid and accessible topography. Great, well established mix of jobs and retail. Group Health fits nicely into the community without overwhelming or defining the community; The narrow streets lend themselves to creating an intimate streetscape with small authentic retail street environment; Well established bus; Good ped/bike connections to Volunteer Park; This is a good model for what a Mixed Use Neighborhood could be ",Keep the flavor and don’t change much;  Density in the area should be focused near the Capitol Hill Light Rail station; Good access to the Capital Hill Station,East,http://www.seattle.gov/neighborhoods/npi/plans/caphill/,http://www.seattle.gov/planningcommission/docs/CapitolHillExecSummary.pdf,,
Madison,Mixed Use Neighborhood,"Circle of transit community should shift 2 blocks. Some new development on Madison, including lots of new grocery stores and retail.  The heart of the community is at 19th & Madison.  While there have been many recent improvements to the area many vacant lots remain.  Traffic is fast moving and there are many places such as 23rd & Madison where the pedestrian environment is inhospitable.",Area needs traffic calming.  While there is some burgeoning employment focus in the neighborhood the area should maintain its residential focus.  Good access to jobs in the Central Business District is a priority; Good opportunity for high rise on ridge; aspiring Mixed Use Center,East/Central,http://www.seattle.gov/neighborhoods/npi/plans/central/,http://www.seattle.gov/planningcommission/docs/CentralAreaExecSummary.pdf,,
Central,Mixed Use Neighborhood,Good bus service. Business district aims to serve local community but is underutilized. Lacks many place making elements,"The essential components needed to better enable this mixed use neighborhood include civic infrastructure and urban design.  23rd & Union is a key place for improvements to transit infrastructure such as streetscape improvements, more pedestrian comforts such as overhead weather protection, curb bulbs and a better bus stop.  Pedestrian and bicycle connections to Capitol Hall light rail station are vitally important. Land Use strategies cal also play a role.  Increased density at all four corners of 23rd and Union can help create a heart to the community (consider NC-65 at the heart), while adjacent single family zone can stay intact. ",East/Central,http://www.seattle.gov/neighborhoods/npi/plans/central/,http://www.seattle.gov/planningcommission/docs/CentralAreaExecSummary.pdf,,
Pike/Pine,Mixed Use Center,Institutions; high density; great historic character; already receiving DPD considerations,capitalize on transit and proximity to downtown; need wider sidewalks; reward places with density,East,http://www.seattle.gov/neighborhoods/npi/plans/ppine/,http://www.seattle.gov/planningcommission/docs/PikePineExecSummary.pdf,http://www.seattle.gov/dpd/Planning/PikePineConservationOverlayDistrict/Overview/,
12th Ave? (First Hill),Special District,institutions dominate; some great residential with density; Madison calmer,"Institution break down walls – put street related retail, not cafeterias; lacks street life; improving walking and bus service to downtown; aspiring to future Mixed Use Center with more retail and service",East,http://www.seattle.gov/neighborhoods/npi/plans/fhill/,http://www.seattle.gov/planningcommission/docs/FirstHillExecSummary.pdf,,
Yesler Terrace,Mixed Use Neighborhood,residential; safety,streetcar; office/residential/small commercial; not enough retail/commercial to be Mixed Use Center; GREAT opportunities,East/Central,,,http://www.yeslerterrace.org/,
West Seattle Junction/Triangle,Mixed Use Center future/local,underlying water issues; vibrant commercial pedestrian activity; large properties available for redevelopment,"Rapid Ride and development opportunities could create more of a job center in the area; need to improve pedestrian experience; improve connections with Admiral; needs more jobs, schools, open space",Southwest,http://www.seattle.gov/neighborhoods/npi/plans/wsj/,http://www.seattle.gov/planningcommission/docs/WSJExecSummary.pdf,http://www.seattle.gov/dpd/Planning/WestSeattleTriangle/Overview/default.asp,http://www.kingcounty.gov/transportation/kcdot/MetroTransit/RapidRide/CLine.aspx
Morgan Junction,Mixed Use Neighborhood,ferry traffic and bus lines; modest/little commercial district; primarily single family; very linear; community doesn’t want more depth; new parks and residential development,,Southwest,http://www.seattle.gov/neighborhoods/npi/plans/morgan/,http://www.seattle.gov/planningcommission/docs/MorganJunctionExecSummary.pdf,,http://www.kingcounty.gov/transportation/kcdot/MetroTransit/RapidRide/CLine.aspx
Westwood,n/a or transit node,variety of businesses – more big box stores/destination for West Seattlites; some new investment; aspiring U Village; very auto oriented; strong identity; localized,Potential connections to Roxbury limited by topography; potential internal link in W Seattle via (trolley?) from north to south circulator to link/cross Duwamish,Delridge,http://www.seattle.gov/neighborhoods/npi/plans/westwood/,http://www.seattle.gov/planningcommission/docs/WHPExecSummary.pdf,,http://www.kingcounty.gov/transportation/kcdot/MetroTransit/RapidRide/CLine.aspx
Roxbury,Mixed Use Neighborhood future,some pedestrian activity; small commercial business district; possible annexation of adjacent land to the south; more of a “village” off busy streets,currently doesn’t meet conditions but has potential to become a mixed use neighborhood,Delridge,http://www.seattle.gov/neighborhoods/npi/plans/westwood/,http://www.seattle.gov/planningcommission/docs/WHPExecSummary.pdf,,http://www.kingcounty.gov/transportation/kcdot/MetroTransit/RapidRide/CLine.aspx
Admiral,Mixed Use Neighborhood,"intersections of bus lines; movie theater, library, schools, restaurants; center of north half of West Seattle",some possibility for increased density and development; might advocate for increased zoning in some single family areas; works well as a mixed use neighborhood!,Southwest,http://www.seattle.gov/neighborhoods/npi/plans/admiral/,http://www.seattle.gov/planningcommission/docs/AdmiralExecSummary.pdf,,
North Beacon Hill,Mixed Use Neighborhood,will not radically change in terms of allocation of resources and activity; intact retail community; modest rezones proposed in updated Neighborhood Plan including El Centro de la Raza; linear corridor feel could be enhanced,requests to make Beacon more of a boulevard; redesign skewed intersections; improve connection with Jefferson Park; Does proposed zoning enable more height/density around the light rail station?,Greater Duwamish,http://www.seattle.gov/neighborhoods/npi/plans/nbeacon/,,http://www.seattle.gov/dpd/Planning/Neighborhood_Planning/NeighborhoodPlanUpdates/NorthBeaconHill/default.asp,
Mt. Baker Station,Mixed Use Center future,"major transit hub surrounded by parking lots, empty space; pedestrian movement very problematic; Rainier Ave S barrier with high traffic volumes; Residential far from station/connections","lots of possibility for growth; willing developers; East Link station @ I-90; possibility for mixed use center in the future; need to mitigate traffic volume/patterns, attract jobs",Southeast,http://www.seattle.gov/neighborhoods/npi/plans/nrv/,,http://www.seattle.gov/dpd/Planning/Neighborhood_Planning/NeighborhoodPlanUpdates/NorthRainier/default.asp,
Columbia City Station,Mixed Use Neighborhood,some redevelopment; topography changes to the west; minimal connectivity between light rail station and Columbia City business district; even less connectivity with Hillman City; vacant/empty space,"Redevelop Zion Prep site? explore development opportunities at the light rail station instead of getting off and heading east; connect to Hillman; need placemaking, improve safety, protect diversity",Southeast,http://www.seattle.gov/neighborhoods/npi/plans/colcity/,http://www.seattle.gov/planningcommission/docs/CCHCGExecSummary.pdf,,
Othello Station,Mixed Use Neighborhood,"needs investment; vibrant retail, ethnic, small businesses; trying to link parks; lots of potential for development, needs density/town center","needs investments;preserve character and immigrant populations; build on multi-cultural character as draw – use as impetus for jobs, community character, shared space, etc.",Southeast,http://www.seattle.gov/neighborhoods/npi/plans/mlk/,,http://www.seattle.gov/dpd/Planning/Neighborhood_Planning/NeighborhoodPlanUpdates/MLKatHollyStreet/default.asp,
Rainier Beach,Mixed Use Neighborhood,"in the middle of nowhere; little connectivity to Rainier Beach or anything else; Rainier is dividing line. no connection to light rail on Henderson; lots of schools, community center, but not very pedestrian friendly; little connection to Seward Park or Lake Washington",improve connection to Rainier Beach; better connection to light rail; develop Henderson as link and boulevard – retail along; increase jobs/higher education focus; better development of retail,Southeast,http://www.seattle.gov/neighborhoods/npi/plans/rbch/,http://www.seattle.gov/planningcommission/docs/RainierBeachExecSummary.pdf,http://www.seattle.gov/dpd/Planning/Neighborhood_Planning/NeighborhoodPlanUpdates/RainierBeach/default.asp,
Belltown,Mixed Use Center,Belltown needs a heart and better east-west connections,,Downtown,http://www.seattle.gov/neighborhoods/npi/plans/belltown/,http://www.seattle.gov/planningcommission/docs/BelltownExecSummary.pdf,http://www.seattle.gov/DPD/Planning/Center_City/Overview/,
23rd & Jackson,Mixed Use Neighborhood,,,Central,http://www.seattle.gov/neighborhoods/npi/plans/central/,http://www.seattle.gov/planningcommission/docs/CentralAreaExecSummary.pdf,,
